Source,Remove Occurrence Annotations,Alt+Shift+U,Editing JavaScript Source
Task Repositories,Open Selected Task,Ctrl+Enter,In Tasks View
Terminal view commands,Terminal view insert,Alt+Y,Terminal Typing Connected
Refactor - Java,Change Method Signature,Alt+Shift+C,In Windows
Terminal view commands,Terminal view insert,Alt+S,Terminal Typing Connected
Edit,Context Information,Ctrl+Shift+Space,In Dialogs and Windows
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks View
Terminal view commands,Terminal view insert,Alt+A,Terminal Typing Connected
Edit,Toggle Comment,Ctrl+/,Editing SQL
Terminal view commands,Terminal view insert,Alt+R,Terminal Typing Connected
Views,Show View (Cheat Sheets),"Alt+Shift+Q, H",In Windows
Edit,Incremental Find,Ctrl+J,Editing Text
Refactor - Java,Move - Refactoring ,Alt+Shift+V,In Windows
Edit,Select Enclosing Element,Alt+Shift+Up,Editing in Structured Text Editors
Edit,Copy,Ctrl+Insert,In Dialogs and Windows
Edit,Select Enclosing Element,Alt+Shift+Up,Editing Java Source
Source,Show Source Quick Menu,Alt+Shift+S,JavaScript View
Terminal view commands,Terminal view insert,Alt+T,Terminal Typing Connected
Edit,Select Next Element,Alt+Shift+Right,Editing in Structured Text Editors
Run/Debug,Next Memory Monitor,Ctrl+Alt+N,In Memory View
Navigate,Open Call Hierarchy,Ctrl+Alt+H,In Windows
Window,Next Editor,Ctrl+F6,In Windows
Edit,Copy,Ctrl+C,In Dialogs and Windows
Text Editing,Collapse,Ctrl+Numpad_Subtract,Editing Text
Navigate,Open Type Hierarchy,F4,In Windows
Source,Surround With Quick Menu,Alt+Shift+Z,JavaScript View
Source,Surround With Quick Menu,Alt+Shift+Z,In Windows
Task Repositories,New Subtask,Shift+Insert,In Tasks View
Run/Debug,Run Maven Build,"Alt+Shift+X, M",In Windows
Source,Quick Assist - Assign to local variable,"Ctrl+2, L",Editing Java Source
Project Archives,Build Project Archives,"Alt+Shift+Y, B",In Windows
Web Page Editor Layout,Graphical Designer,Ctrl+Shift+F11,Using Web Page Editor
Text Editing,Delete to End of Line,Ctrl+Shift+Delete,Editing Text
Navigate,Next Page,Ctrl+F5,In Faces Config Editor
Text Editing,Toggle Folding,Ctrl+Numpad_Divide,Editing Text
Edit,Select All,Ctrl+A,In Dialogs and Windows
YEdit,Format,Ctrl+Shift+F,YEdit editor context
SQL Results View,Remove All Visible Results,Shift+Delete,In Windows
Edit,Remove Block Comment,Ctrl+Shift+\,Editing in Structured Text Editors
Views,Show View (Outline),"Alt+Shift+Q, O",In Windows
Window,Maximize Active View or Editor,Ctrl+M,In Windows
Search,Find Text in Workspace,Ctrl+Alt+G,In Windows
View,Zoom In,Ctrl+=,In Windows
Task Repositories,Show Tooltip Description,F4,In Tasks View
Database Tools,Debug,Ctrl+Alt+D,Editing SQL
Run/Debug,Force Return,Alt+Shift+F,In Windows
Window,Update Project,Alt+F5,In Windows
Navigate,Previous Page,Alt+Shift+F7,In Windows
Text Editing,Scroll Line Up,Ctrl+Up,Editing Text
Window,Activate Editor,F12,In Windows
ASA 9.x table schema editor,Copy,Alt+C,In Windows
Views,Show View (Problems),"Alt+Shift+Q, X",In Windows
Text Editing,Select Line End,Shift+End,Editing Text
Edit,Paste,Shift+Insert,In Dialogs and Windows
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks Editor
Text Editing,Copy Lines,Ctrl+Alt+Down,Editing Text
Run/Debug,Display,Ctrl+Shift+D,In Dialogs and Windows
Terminal view commands,Maximize Active View or Editor,Alt+Up,Terminal Control in Focus
Text Editing,Scroll Line Down,Ctrl+Down,Editing Text
Refactor - Java,Inline,Alt+Shift+I,In Windows
Navigate,Deactivate Task,Ctrl+Shift+F9,In Windows
YEdit,Toggle Comment,Ctrl+/,YEdit editor context
File,Refresh,F5,In Windows
Source,Add Import,Ctrl+Shift+M,Editing JavaScript Source
Edit,Cut,Ctrl+X,In Dialogs and Windows
YEdit,Toggle Comment,Ctrl+Shift+C,YEdit editor context
Navigate,Open CDI Named Bean...,Ctrl+Alt+Z,In Windows
Text Editing,Join Lines,Ctrl+Alt+J,Editing Text
Views,Show View (Breakpoints),"Alt+Shift+Q, B",In Windows
Navigate,Next Page,Alt+F7,In Windows
Refactor - JavaScript,Rename - Refactoring ,Alt+Shift+R,JavaScript View
Views,Show View (Javadoc),"Alt+Shift+Q, J",In Windows
Run/Debug,Add Memory Block,Ctrl+Alt+M,In Memory View
Source,Indent Line,Ctrl+I,Editing JavaScript Source
Uncategorized,Copy SHA-1,Ctrl+C,In Git Reflog View
Views,Show View (Package Explorer),"Alt+Shift+Q, P",In Windows
Edit,Redo,Ctrl+Y,In Dialogs and Windows
Window,Show System Menu,Alt+-,In Windows
Run/Debug,Debug Eclipse Application,"Alt+Shift+D, E",In Windows
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,In Windows
Search,References in Workspace,Ctrl+Shift+G,JavaScript View
Source,Format,Ctrl+Shift+F,Editing Ant Buildfiles
Run/Debug,Run JUnit Test,"Alt+Shift+X, T",In Windows
Source,Toggle Comment,Ctrl+7,Editing JavaScript Source
Navigate,Quick Outline,Ctrl+O,Editing in Structured Text Editors
ASA 9.x table schema editor,Cut,Alt+X,In Windows
Run/Debug,Debug on Server,"Alt+Shift+D, R",In Windows
Run/Debug,Remote Java Application...,"Alt+Shift+D, D",In Windows
Database Tools,Execute Selected Text,Alt+X,Editing SQL
Window,Previous View,Ctrl+Shift+F7,In Windows
Edit,Toggle Block Selection,Alt+Shift+A,Editing Text
Edit,Find Next,Ctrl+K,Editing Text
Navigate,Backward History,Alt+Left,In Windows
Run/Debug,Step Into Selection,Ctrl+F5,Debugging
Window,Show Key Assist,Ctrl+Shift+L,In Dialogs and Windows
Spy,Plug-in Selection Spy,Alt+Shift+F1,In Dialogs and Windows
Navigate,Last Edit Location,Ctrl+Q,In Windows
File,Close All,Ctrl+Shift+W,In Windows
Visual Page Editor,Maximize/Restore Source Part,Shift+F6,Visual Page Editor
Database Tools,Edit in SQL Query Builder...,Alt+Q,Editing SQL
Text Editing,Select Next Word,Ctrl+Shift+Right,Editing Text
Source,Remove Block Comment,Ctrl+Shift+\,Editing Java Source
Run/Debug,Run,Ctrl+F11,In Windows
Edit,Add Block Comment,Ctrl+Shift+/,Editing in Structured Text Editors
Search,Declaration in Workspace,Ctrl+G,In Windows
Views,Show View (Search),"Alt+Shift+Q, S",In Windows
Source,Quick Assist - Assign to var,"Ctrl+2, F",Editing JavaScript Source
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks View
Views,Show View (Variables),"Alt+Shift+Q, V",In Windows
Edit,Previous Sibling,Ctrl+Shift+Up,Editing in Structured Text Editors
Source,Remove Block Comment,Ctrl+Shift+\,Editing JavaScript Source
Run/Debug,Run TestNG Suite,"Alt+Shift+X, G",In Windows
Git,Commit...,Ctrl+#,In Windows
Edit,Next Sibling,Ctrl+Shift+Down,Editing in Structured Text Editors
Navigate,Expand All,Ctrl+Shift+Numpad_Multiply,In Windows
Source,Toggle Comment,Ctrl+/,Editing Properties Files
Source,Open Declaration,F3,Editing Ant Buildfiles
Server,Run,Ctrl+Alt+R,In Servers View
Text Editing,Expand,Ctrl+Numpad_Add,Editing Text
Navigate,Previous,"Ctrl+,",In Windows
Modules,Full Publish Module,"Alt+Shift+Y, F",In Windows
Edit,Occurrences in File,Ctrl+Shift+A,Editing in Structured Text Editors
Run/Debug,Resume,F8,Debugging
Source,Toggle Comment,Ctrl+/,Editing JavaScript Source
Run/Debug,Debug Java Applet,"Alt+Shift+D, A",In Windows
Text Editing,Text Start,Ctrl+Home,Editing Text
Navigate,Open Plug-in Artifact,Ctrl+Shift+A,In Windows
Views,Documentation,"Alt+Shift+Q, J",JavaScript View
File,Close All,Ctrl+Shift+F4,In Windows
Task Repositories,Mark Task Read and Go To Next Unread Task,Alt+Shift+Down,In Tasks View
Source,Add Block Comment,Ctrl+Shift+/,Editing Java Source
Window,Show View Menu,Ctrl+F10,In Dialogs and Windows
Navigate,Quick Hierarchy,Ctrl+T,Editing JavaScript Source
Navigate,Quick Outline,Ctrl+O,Editing JavaScript Source
Views,Show View (History),"Alt+Shift+Q, Z",In Windows
Navigate,Open Call Hierarchy,Ctrl+Alt+H,JavaScript View
Views,Show View (Error Log),"Alt+Shift+Q, L",In Windows
Window,Quick Access,Ctrl+3,In Windows
JAutodoc,Add Javadoc,Ctrl+Alt+J,Editing Java Source
Navigate,Show In...,Alt+Shift+W,In Windows
Edit,Restore Last Selection,Alt+Shift+Down,Editing JavaScript Source
Terminal view commands,Terminal view insert,Alt+H,Terminal Typing Connected
Database Tools,Goto Matching Token,Ctrl+Shift+P,Editing SQL
Navigate,Search Repository for Task,Ctrl+Shift+F12,In Windows
Source,Rename In File,Alt+Shift+R,Editing Ant Buildfiles
Navigate,Next Page,Ctrl+F5,Using Web Page Editor
Source,Annotate Class File,Ctrl+1,Browsing attached Java Source
Web Page Editor Layout,Source Code,Ctrl+Shift+F12,Using Web Page Editor
Run/Debug,Toggle Breakpoint,Ctrl+Shift+B,In Windows
Navigate,Open Structure,Ctrl+F3,Editing JavaScript Source
Window,Previous Editor,Ctrl+Shift+F6,In Windows
Source,Toggle Comment,Ctrl+7,Editing Java Source
Terminal view commands,Terminal view insert,Alt+N,Terminal Typing Connected
Window,Show Ruler Context Menu,Ctrl+F10,Editing Text
File,Properties,Alt+Enter,In Windows
Source,Show Source Quick Menu,Alt+Shift+S,In Windows
Navigate,Open MBean,Ctrl+Shift+M,In Windows
Navigate,Quick Hierarchy,Ctrl+T,Editing Java Source
Source,Organize Imports,Ctrl+Shift+O,JavaScript View
File,New menu,Alt+Shift+N,In Windows
Text Editing,Delete Next Word,Ctrl+Delete,Editing Text
Terminal view commands,Quick Access,Alt+Right,Terminal Control in Focus
Run/Debug,Java Breakpoint Properties,Alt+Enter,In Breakpoints View
Focused UI,Show Context Quick View,Ctrl+Alt+Shift+Right,In Windows
Window,Previous Perspective,Ctrl+Shift+F8,In Windows
Terminal Commands,Open Terminal,Ctrl+Alt+Shift+T,In Windows
File,Print,Ctrl+P,In Windows
Source,Toggle Comment,Ctrl+7,Editing Properties Files
Navigate,Open Declaration,F3,In Windows
CSS Dialog,Open CSS Dialog,Ctrl+Shift+C,Editing CSS Source
Run/Debug,Go to Address,Ctrl+G,In Table Memory Rendering
Refactor - JavaScript,Extract Local Variable,Alt+Shift+L,JavaScript View
Edit,Select Next Element,Alt+Shift+Right,Editing JavaScript Source
Refactor - JavaScript,Extract Function,Alt+Shift+M,JavaScript View
Navigate,Go To Next Unread Task,Alt+Down,In Tasks View
Window,Show Contributing Plug-in,Alt+Shift+F3,In Dialogs and Windows
Refactor - Java,Show Refactor Quick Menu,Alt+Shift+T,In Windows
Text Editing,Previous Word,Ctrl+Left,Editing Text
Terminal view commands,Terminal view insert,Alt+E,Terminal Typing Connected
Edit,Format,Ctrl+Shift+F,Editing in Structured Text Editors
Run/Debug,Use Step Filters,Shift+F5,In Windows
Navigate,Open External JSDoc,Shift+F2,JavaScript View
Forge Commands,Run a Forge Command,Ctrl+4,In Windows
SQL Results View,Remove Result,Ctrl+Delete,In Windows
Edit,Rename,Alt+Shift+R,Editing JSP Source
Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing Java Source
Edit,Select Enclosing Element,Alt+Shift+Up,Editing JavaScript Source
Edit,Run Query command,Ctrl+Enter,Editing HQL
Text Editing,Collapse All,Ctrl+Shift+Numpad_Divide,Editing Text
Source,Add Import,Ctrl+Shift+M,Editing Java Source
JavaScript Debug,Evaluate,Alt+Shift+E,Editing JavaScript Source
Edit,Restore Last Selection,Alt+Shift+Down,Editing Java Source
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing JavaScript Source
View,Zoom Out,Ctrl+-,In Windows
Database Tools,Execute All,Ctrl+Alt+X,Editing SQL
Text Editing,Insert Line Below Current Line,Shift+Enter,Editing Text
Navigate,Go To Previous Unread Task,Alt+Up,In Tasks View
Navigate,Open Type Hierarchy,F4,JavaScript View
Server,Publish,Ctrl+Alt+P,In Servers View
File,Save All,Ctrl+Shift+S,In Windows
Edit,Delete,Delete,In Windows
Run/Debug,Inspect,Ctrl+Shift+I,In Dialogs and Windows
JAutodoc,Add Header with Dialog,Ctrl+Alt+O,Editing Java Source
Text Editing,Move Lines Down,Alt+Down,Editing Text
Terminal view commands,Terminal view insert,Alt+V,Terminal Typing Connected
File,Close,Ctrl+F4,In Windows
Text Editing,Select Line Start,Shift+Home,Editing Text
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,JavaScript View
Project,Build All,Ctrl+B,In Windows
Terminal view commands,Terminal view insert,Alt+D,Terminal Typing Connected
Window,Toggle Split Editor (Horizontal),Ctrl+_,In Windows
Refactor - JavaScript,Inline,Alt+Shift+I,JavaScript View
Source,Add Javadoc Comment,Alt+Shift+J,In Windows
Edit,Select Next Element,Alt+Shift+Right,Editing Java Source
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing Java Source
Source,Toggle Comment,Ctrl+/,Editing Java Source
Terminal view commands,Terminal view insert,Alt+L,Terminal Typing Connected
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,JavaScript View
Task Repositories,New Local Task,Insert,In Tasks View
File,New,Ctrl+N,In Windows
Window,Toggle Split Editor (Vertical),Ctrl+{,In Windows
Terminal view commands,Terminal view insert,Alt+F,Terminal Typing Connected
Visual Page Editor Category,Toggle selection tag bar,Ctrl+6,In Windows
Edit,Content Assist,Ctrl+Space,In Dialogs and Windows
Window,Select Maven Profiles,Ctrl+Alt+P,In Windows
Edit,Move,Alt+Shift+V,Editing JSP Source
Source,Quick Assist - Extract method,"Ctrl+2, M",Editing Java Source
Text Editing,Line End,End,Editing Text
Git,Paste Repository Path or URI,Ctrl+V,In Git Repositories View
Visual Page Editor,Refresh,Ctrl+R,Visual Page Editor
Navigate,Refresh,Ctrl+R,In Windows
Source,Remove Occurrence Annotations,Alt+Shift+U,Editing Java Source
File,Register As Service,Ctrl+Shift+F10,In Windows
Terminal view commands,Terminal view insert,Alt+G,Terminal Typing Connected
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks View
File,Save,Ctrl+S,In Windows
Run/Debug,Step Over,F6,Debugging
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks Editor
Views,JavaScript Script Explorer,"Alt+Shift+Q, P",JavaScript View
Terminal view commands,Terminal view insert,Alt+C,Terminal Typing Connected
Refactor - Java,Extract Method,Alt+Shift+M,In Windows
Terminal view commands,Copy,Ctrl+Insert,Terminal Control in Focus
Database Tools,Run,Ctrl+Alt+R,Editing SQL
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing Java Source
Navigate,Quick Outline,Ctrl+O,WikiText Markup Source Context
Run/Debug,Run on Server,"Alt+Shift+X, R",In Windows
Task Repositories,Quick Outline,Ctrl+O,In Tasks Editor
Visual Page Editor,Maximize/Restore Visual Part,Alt+Shift+F6,Visual Page Editor
Navigate,Open Task,Ctrl+F12,In Windows
Views,Show View (Type Hierarchy),"Alt+Shift+Q, T",In Windows
Git,Copy Path to Clipboard,Ctrl+C,In Git Repositories View
Database Tools,Execute Selected Text As One Statement,Alt+C,Editing SQL
Terminal view commands,Paste,Ctrl+Shift+V,Terminal Control in Focus
Manifest Editor Source,Format Source,Ctrl+Shift+F,PDE editor
Run/Debug,Run Java Application,"Alt+Shift+X, J",In Windows
Window,Next View,Ctrl+F7,In Windows
Text Editing,Insert Line Above Current Line,Ctrl+Shift+Enter,Editing Text
Source,Add Block Comment,Ctrl+Shift+/,Editing JavaScript Source
Run/Debug,Run OSGi Framework,"Alt+Shift+X, O",In Windows
Run/Debug,Debug OSGi Framework,"Alt+Shift+D, O",In Windows
Task Editor,Maximize Part,Ctrl+Shift+M,In Tasks Editor
Terminal Commands,Open Local Terminal on Selection,Ctrl+Alt+T,In Windows
Navigate,Matching Character,Ctrl+Shift+P,Editing in Structured Text Editors
Run/Debug,Debug Java Application,"Alt+Shift+D, J",In Windows
Window,Next Perspective,Ctrl+F8,In Windows
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,In Windows
Views,Show View,"Alt+Shift+Q, Q",In Windows
Navigate,Previous Page,Ctrl+Shift+F5,In Faces Config Editor
Source,Toggle Comment,Ctrl+Shift+C,Editing JavaScript Source
Source,Toggle Comment,Ctrl+Shift+C,Editing Properties Files
Edit,Cut,Shift+Delete,In Dialogs and Windows
Edit,Add Maven Dependency,Ctrl+Shift+D,Editing XML Source
Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing JavaScript Source
Refactor - JavaScript,Show Refactor Quick Menu,Alt+Shift+T,JavaScript View
Refactor - Java,Rename - Refactoring ,Alt+Shift+R,In Windows
Run/Debug,Debug TestNG Test,"Alt+Shift+D, N",In Windows
Text Editing,To Upper Case,Ctrl+Shift+X,Editing Text
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing JavaScript Source
Source,Quick Assist - Assign to local variable,"Ctrl+2, L",Editing JavaScript Source
ASA 9.x table schema editor,Paste,Alt+V,In Windows
Terminal view commands,Terminal view insert,Alt+W,Terminal Typing Connected
Text Editing,Toggle Overwrite,Insert,Editing Text
Run/Debug,Step Return,F7,Debugging
Edit,Select Previous Element,Alt+Shift+Left,Editing Java Source
Run/Debug,Toggle Memory Monitors Pane,Ctrl+T,In Memory View
Text Editing,Select Previous Word,Ctrl+Shift+Left,Editing Text
Edit,Format Active Elements,Ctrl+I,Editing in Structured Text Editors
Edit,Open Selection,F3,Editing in Structured Text Editors
Navigate,Open Declaration,F3,JavaScript View
Search,References in Workspace,Ctrl+Shift+G,In Windows
Navigate,Show In Breadcrumb,Alt+Shift+B,Editor Breadcrumb Navigation
JAutodoc,Add Javadoc with Dialog,Ctrl+Alt+I,Editing Java Source
Views,JavaScript Type Hierarchy,"Alt+Shift+Q, T",JavaScript View
Navigate,Quick Outline,Ctrl+O,PDE editor
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing Java Source
Modules,Restart Module,"Alt+Shift+Y, G",In Windows
JavaScript Debug,Open Source,Ctrl+Shift+3,Debugging
Navigate,Forward History,Alt+Right,In Windows
Focused UI,Make Less Interesting,Ctrl+Alt+Shift+Down,In Windows
Run/Debug,Previous Page of Memory,"Ctrl+Shift+,",In Table Memory Rendering
Source,Format,Ctrl+Shift+F,Editing JavaScript Source
Run/Debug,Debug TestNG Suite,"Alt+Shift+D, G",In Windows
Navigate,Open Remote Task,Ctrl+Alt+Shift+F12,In Windows
Run/Debug,New Rendering,Ctrl+N,In Memory View
Window,Quick Switch Editor,Ctrl+E,In Windows
Navigate,Quick Outline,Ctrl+Shift+O,Task Markup Editor Source Context
Source,Organize Imports,Ctrl+Shift+O,In Windows
File,Rename,F2,In Windows
Edit,Undo,Ctrl+Z,In Dialogs and Windows
Visual Page Editor Category,Externalize selected string...,Ctrl+7,In Windows
Views,Show View (Console),"Alt+Shift+Q, C",In Windows
Uncategorized,Show Markup Cheat Sheet,F1,WikiText Markup Source Context
Edit,Add Im&port,Ctrl+Shift+M,Editing JSP Source
Text Editing,Delete Line,Ctrl+D,Editing Text
Navigate,Open Maven POM,Alt+Shift+P,In Windows
Edit,Quick Fix,Ctrl+1,In Dialogs and Windows
Visual Page Editor,Jump,Ctrl+Shift+Tab,Visual Page Editor
Navigate,Show In Breadcrumb,Alt+Shift+B,Editing Java Source
Terminal view commands,Terminal view insert,Alt+B,Terminal Typing Connected
Text Editing,Duplicate Lines,Ctrl+Alt+Up,Editing Text
Server,Debug,Ctrl+Alt+D,In Servers View
EMF Code Generation,Generate Code,Alt+Shift+G,In Windows
Source,Open External Documentation,Shift+F2,Editing Ant Buildfiles
Navigate,Go to Line,Ctrl+L,Editing Text
Text Editing,Reset Structure,Ctrl+Shift+Numpad_Multiply,Editing Text
Edit,Find and Replace,Ctrl+F,In Windows
Edit,Incremental Find Reverse,Ctrl+Shift+J,Editing Text
Views,Show View (),"Alt+Shift+Q, D",In Windows
Task Repositories,Mark Task Unread,Alt+Shift+U,In Tasks Editor
Navigate,Open Type,Ctrl+Shift+T,Editing JavaScript Source
Web Page Editor Layout,Vertical Layout,Ctrl+Shift+F9,Using Web Page Editor
Task Editor,Submit Task,Alt+Shift+S,In Tasks Editor
Edit,Find Previous,Ctrl+Shift+K,Editing Text
Run/Debug,Debug,F11,In Windows
Server,Stop,Ctrl+Alt+S,In Servers View
Edit,Paste,Ctrl+V,In Dialogs and Windows
Run/Debug,Debug JUnit Plug-in Test,"Alt+Shift+D, P",In Windows
Run/Debug,Run to Line,Ctrl+R,Debugging
Run/Debug,Run Java Applet,"Alt+Shift+X, A",In Windows
Views,Show View (Task List),"Alt+Shift+Q, K",In Windows
Views,Show View (Synchronize),"Alt+Shift+Q, Y",In Windows
Uncategorized,Add Artifact to Target Platform,Ctrl+Alt+Shift+A,In Windows
Search,Declaration in Workspace,Ctrl+G,JavaScript View
JavaScript Debug,JavaScript Breakpoint Properties,Ctrl+Enter,In Breakpoints View
Text Editing,Expand All,Ctrl+Numpad_Multiply,Editing Text
Refactor - JavaScript,Move - Refactoring ,Alt+Shift+V,JavaScript View
JAutodoc,Add Header,Ctrl+Alt+K,Editing Java Source
Navigate,Next Sub-Tab,Alt+PageDown,In Dialogs and Windows
Run/Debug,Next Page of Memory,Ctrl+Shift+.,In Table Memory Rendering
Terminal view commands,Paste,Shift+Insert,Terminal Control in Focus
Navigate,Activate Task,Ctrl+F9,In Windows
Run/Debug,Run JUnit Plug-in Test,"Alt+Shift+X, P",In Windows
Edit,Restore Last Selection,Alt+Shift+Down,Editing in Structured Text Editors
Run/Debug,Debug XSLT Transformation,"Alt+Shift+D, X",In Windows
Source,Correct Indentation,Ctrl+I,Editing Java Source
Navigate,Open Resource,Ctrl+Shift+R,In Windows
Search,Open Search Dialog,Ctrl+H,In Windows
Navigate,Open Type,Ctrl+Shift+T,In Windows
File,Close,Ctrl+W,In Windows
Edit,Add Maven Plugin,Ctrl+Shift+P,Editing XML Source
Web Page Editor Layout,Horizontal Layout,Ctrl+Shift+F10,Using Web Page Editor
Source,Format,Ctrl+Shift+F,Editing Java Source
Text Editing,Move Lines Up,Alt+Up,Editing Text
Refactor - Java,Extract Local Variable,Alt+Shift+L,In Windows
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing Java Source
Text Editing,To Lower Case,Ctrl+Shift+Y,Editing Text
Navigate,Open Attached Javadoc,Shift+F2,In Windows
Edit,Select Previous Element,Alt+Shift+Left,Editing in Structured Text Editors
Edit,Toggle Insert Mode,Ctrl+Shift+Insert,Editing Text
Text Editing,Line Start,Home,Editing Text
Edit,Word Completion,Alt+/,Editing Text
Refactor - JavaScript,Change Function Signature,Alt+Shift+C,JavaScript View
Text Editing,Text End,Ctrl+End,Editing Text
Spy,Plug-in Menu Spy,Alt+Shift+F2,In Dialogs and Windows
Run/Debug,Run TestNG Test,"Alt+Shift+X, N",In Windows
Run/Debug,Debug JUnit Test,"Alt+Shift+D, T",In Windows
Run/Debug,All Instances,Ctrl+Shift+N,In Windows
Run/Debug,Run Eclipse Application,"Alt+Shift+X, E",In Windows
Edit,Matching Tag,Ctrl+Shift+>,Editing in Structured Text Editors
Navigate,Quick Outline,Ctrl+O,Editing Java Source
Edit,Select Previous Element,Alt+Shift+Left,Editing JavaScript Source
